PostingDate,WhsCode,Sale,Target,Shortfall,LM Sale,MOM Sale,LY Sale,YOY Sale,NOB,TGT NOB,NOB Achv%,Bill Shortfall,LM Bills,MOM Bills,LY Bills,YOY Bills,ABV Bills,ABV Bills TGT,ABV ACHV%,LM ABV,MOM ABV,LY ABV,YOY ABV,NM Target,Margin,LM Margin,LY Margin,MOM Margin,NM ACHV,YOY NM,RGM,RGMTarget,RGM Achv%,LM RGM,MOM RGM,LY RGM,YOY RGM,Damage,TGT Damage,Damage Achv,Damage To Sale,LM Damage,MOM Damage,LY Damage,YOY Damage,Fresh Dump,TGT Fresh Dump,Fresh Dump Achv,Fresh Dump To Sale,LM Fresh Dump,MOM Fresh Dump,LY Fresh Dump,YOY Fresh Dump,Shrinkage,TGT Shrinkage,Shrinkage Achv,Shrinkage To Sale,LM Shrinkage,Shrinkage MOM
'2021-08-07',STR12,107590.21000000002,124999.96999999999,-17409.759999999966,58289.55000000001,84.57889964839325,0.0,0.0,194.0,275.0,70.54545454545455,-81.0,84.0,130.95238095238093,0.0,0.0,554.5887113402065,650.0,85.32134020618561,800.5398809523808,-30.723162638639923,0.0,0.0,3.3550488052117124,8.295191885953185,9.860451144330328,0.0,-1.565259258377143,247.24504374027242,0.0,8924.814369999995,4193.809999999999,212.80922049401374,5747.6126,55.278634645626504,0.0,0.0,0.0,562.5100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.55999999999997,0.0,0.0,1186.17172,-100.0,0.0,0.0,0.0,583.7900000000002,0.0,0.0,0.0,0.0
'2021-08-08',STR01,1107430.8800000006,1931999.9900000005,-824569.1099999999,563864.4999999998,96.4001777022673,642044.2400000001,72.4851359152448,707.0,922.3,76.65618562289927,-215.29999999999995,381.0,85.56430446194226,340.0,107.94117647058825,1560.2179066478097,1600.0,97.51361916548811,1466.2160629921254,6.4111863202380714,1741.440911764706,-10.406497509769208,7.427961218571223,7.725225903940839,11.293700071559748,14.312710166202875,-3.568474167618909,104.00196873169452,-6.587484262262036,85551.53721000002,143508.20999999993,59.61438527454287,63681.16543999999,34.34354823579064,91893.93121,-6.901863829838839,2336.62,8693.980000000001,26.876298312165424,0.21099465819483004,7647.4304,-69.4456846576858,0.0,0.0,4851.621640000001,2265.199999999998,214.18071870033577,0.438097016041308,2638.44816,83.8816359386042,6933.748960000001,-30.02888238399677,1610.1702199999993,7041.230000000003,22.867740721436434,0.14539690459055996,689.37886,133.5682617247647
'2021-08-08',STR11,171659.62999999995,369999.98000000004,-198340.3500000001,115106.31,49.131381242261995,0.0,0.0,260.0,465.93,55.802373747129394,-205.93,214.0,21.495327102803728,0.0,0.0,664.9389230769244,750.0,88.65852307692326,540.0608411214946,23.122965497018267,0.0,0.0,5.088397572345816,10.82444492045101,9.511597982769146,0.0,1.3128469376818632,212.7279711648161,0.0,18581.20209999999,18827.070000000003,98.69407241806604,10948.44946,69.71537538613246,0.0,0.0,572.06,1664.9799999999996,34.358370671119175,0.3332524950682931,0.0,0.0,0.0,0.0,1292.7977999999998,474.2999999999999,272.56963946869075,0.753116967571234,1780.5302000000001,-27.392537346460077,0.0,0.0,187.82,1475.1299999999997,12.732437141133326,0.10941419365753036,0.0,0.0
'2021-08-08',STR12,91571.73000000001,135000.02000000002,-43428.29000000001,29900.099999999988,206.2589422777852,0.0,0.0,221.0,297.0,74.41077441077442,-76.0,69.0,220.28985507246378,0.0,0.0,414.50126696832547,650.0,63.76942568743469,436.6633333333337,-5.075321116575293,0.0,0.0,4.178480862447279,3.3689269821592314,8.828342848351681,0.0,-5.45941586619245,80.6256410657843,0.0,3084.98472,5640.950000000001,54.68909882200692,2639.6833399999996,16.86949996055209,0.0,0.0,0.0,607.4699999999999,0.0,0.0,270.06,-100.0,0.0,0.0,1178.0497300000002,166.98000000000005,705.5034914361,1.286477529691751,1535.23265,-23.26571936833155,0.0,0.0,0.0,513.1,0.0,0.0,0.0,0.0
'2021-08-09',STR01,530374.0700000003,1219999.96,-689625.8899999997,203585.88000000003,160.51613697374307,322356.6100000002,64.53022942510778,450.0,615.0,73.17073170731707,-165.0,158.0,184.81012658227849,172.0,161.6279069767442,1152.941177777777,1700.0,67.82006928104572,1283.10886075949,-10.144710785074373,1530.5500581395347,-24.6714492187705,7.684287956861898,6.907242169663379,13.31578457209311,11.975064919562211,-6.408542402429731,89.88786219932538,-5.067822749898832,36634.22141999999,93748.30999999997,39.077207279789896,27109.057199999996,35.13646435479871,38602.41332,-5.098623973802918,839.07,5490.010000000001,15.283578718435848,0.1582034355488004,2278.63,-63.17655784396765,0.0,0.0,3128.8527700000004,1480.5700000000004,211.32758126937597,0.5899332088388104,3575.81272,-12.499534651244248,6492.574119999999,-51.80874777598996,-1004.5121799999993,4591.270000000001,-21.878743354235297,-0.18939692507968928,395.58326999999997,-353.93191678707734
'2021-08-09',STR11,110019.19,229999.98000000013,-119980.79000000012,53125.89999999999,107.0914375097646,0.0,0.0,213.0,294.4,72.35054347826087,-81.39999999999998,111.0,91.89189189189189,0.0,0.0,516.5220187793424,700.0,73.78885982562034,487.2202702702703,6.01406597734897,0.0,0.0,5.779700502582651,7.7262798062774305,15.771867883649977,0.0,-8.045588077372546,133.67958777145896,0.0,8500.390459999999,13293.310000000005,63.94487497846658,8378.94676,1.4493909972044916,0.0,0.0,742.98,1035.02,71.784120113621,0.675318551245469,742.88,0.013461124273095315,0.0,0.0,1809.957,262.80000000000007,688.7203196347031,1.6451284544087266,1380.1865000000003,31.13858163371397,0.0,0.0,0.0,809.1700000000002,0.0,0.0,238.71015999999983,-100.0
'2021-08-09',STR12,69445.09,120000.01000000002,-50554.92000000003,20864.34000000001,232.84105799656237,0.0,0.0,223.0,220.5,101.13378684807257,2.5,69.0,223.18840579710147,0.0,0.0,312.3072197309416,630.0,49.57257456046692,302.381739130435,3.2824338629209304,0.0,0.0,3.726266356144469,2.807704475579195,13.045426982113973,0.0,-10.237722506534778,75.34900104361566,0.0,1949.8129,4471.5199999999995,43.605147690270876,2721.84224,-28.36422069781679,0.0,0.0,0.0,540.0300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.43,0.0,0.0,3447.2651800000003,-100.0,0.0,0.0,0.0,421.84000000000003,0.0,0.0,-2652.95024,-100.0
'2021-08-10',STR01,531451.7400000001,1120000.0600000003,-588548.3200000002,167776.27,216.76216189571988,266168.5399999998,99.66737616699572,458.0,525.2,87.2048743335872,-67.20000000000005,151.0,203.3112582781457,199.0,130.15075376884423,1165.683908296945,1650.0,70.64750959375424,1091.6741721854291,6.779471200949572,1159.664824120606,0.5190365397953034,7.684285302627571,6.937098175649961,12.194988540393698,13.017284507027021,-5.257890364743737,90.27642653088223,-6.08018633137706,36867.328959999984,86064.0,42.83710838445806,20460.296899999987,80.18960888099336,34647.916119999994,6.4056171006454,1398.3799999999999,5040.010000000001,27.745579869881205,0.2631245501237797,837.25,67.0206031651239,0.0,0.0,3168.41378,1353.82,234.03508442776734,0.5961809025218356,1878.31538,68.68380111970333,4427.50836,-28.437994411827606,70517.52000000002,4203.82,1677.4628790005288,13.26884732751087,3190.0417299999995,2110.55164692156
'2021-08-10',STR11,137927.67,209999.99000000005,-72072.32000000004,95400.85999999997,44.57696712587293,0.0,0.0,248.0,259.9,95.42131589072721,-11.899999999999977,217.0,14.28571428571428,0.0,0.0,556.8483064516121,750.0,74.24644086021495,441.0792165898611,26.246779604988557,0.0,0.0,5.779671703793888,8.338457983086348,8.902405659655484,0.0,-0.5639476765691356,144.27217341104034,0.0,11501.040809999997,12137.309999999996,94.75774129522935,8492.971560000002,35.41833654744977,0.0,0.0,247.51999999999998,945.0000000000008,26.192592592592568,0.17945637738968545,809.45,-69.42121193402929,0.0,0.0,1554.05208,266.46,583.2215266831795,1.1267152414015258,1954.3757999999998,-20.48345666171265,0.0,0.0,0.0,821.9699999999997,0.0,0.0,0.0,0.0
'2021-08-10',STR12,63194.03999999999,109999.98,-46805.94,17618.160000000003,258.6869457423476,0.0,0.0,185.0,224.0,82.58928571428571,-39.0,61.0,203.27868852459017,0.0,0.0,343.53275675675644,620.0,55.40850915431555,288.8222950819672,18.942603326125695,0.0,0.0,3.7262461320447513,7.175641263005185,13.316338596084945,0.0,-6.14069733307976,192.57024385202388,0.0,4534.577610000001,4098.87,110.62994459448583,2346.09384,93.28202191605435,0.0,0.0,0.0,494.99999999999994,0.0,0.0,0.0,0.0,0.0,0.0,784.22422,145.61999999999995,538.5415602252439,1.2409781365457884,0.0,0.0,0.0,0.0,0.0,445.15,0.0,0.0,0.0,0.0
